rank,Youtuber,subscribers,views,video count,category,started
269,Enaldinho,"2,11,00,000","7,38,28,59,153","2,908",Comedy,2012
270,SSundee,"2,10,00,000","12,02,27,08,572","3,067",Gaming,2009
271,Tasty,"2,10,00,000","5,50,84,45,771","4,310",Howto & Style,2016
272,FGTeeV,"2,09,00,000","22,56,70,64,225","1,594",Gaming,2013
273,Dua Lipa,"2,09,00,000","9,92,80,11,592",164,Music,2011
274,5-Minute Crafts DIY,"2,09,00,000","4,93,45,52,904","3,961",Howto & Style,2018
275,Juan De Dios Pantoja,"2,09,00,000","1,60,11,42,353",175,Entertainment,2014
276,Indosiar,"2,08,00,000","10,12,60,82,404","58,623",Music,2013
277,Like Nastya PRT,"2,08,00,000","10,44,17,89,042",529,Entertainment,2019
278,Preston,"2,08,00,000","6,95,58,97,177","3,861",Gaming,2012
279,Baim Paula,"2,08,00,000","4,25,46,48,656","1,957",People & Blogs,2016
280,Charlie Puth,"2,07,00,000","8,60,92,02,215",132,Music,2009
281,Canal Canalha,"2,07,00,000","1,83,42,93,432",291,Comedy,2011
282,MrBeast en Español,"2,07,00,000","2,29,01,12,686",72,Entertainment,2021
283,Goldmines Cineplex,"2,06,00,000","1,79,60,17,693","2,474",Film & Animation,2015
284,Brent Rivera,"2,05,00,000","4,65,58,19,045",484,Comedy,2009
285,Kids TV - Nursery Rhymes And Baby Songs,"2,04,00,000","11,74,74,46,967","3,367",Shows,2013
286,Disney Latinoamérica,"2,04,00,000","19,29,60,50,086","7,811",Entertainment,2007
287,Becky G,"2,04,00,000","9,55,28,00,638",73,Music,2011
288,Family GamesTV,"2,04,00,000","7,06,16,90,830",277,Entertainment,2016
289,Jake Paul,"2,04,00,000","7,21,91,40,294",934,People & Blogs,2013
290,National Geographic,"2,04,00,000","5,19,95,19,260","9,854",Science & Technology,2006
291,Tekashi 6ix9ine,"2,04,00,000","5,32,51,95,339",25,People & Blogs,2018
292,BuzzFeedVideo,"2,03,00,000","17,75,57,14,250","7,347",People & Blogs,2011
293,Brave Wilderness,"2,03,00,000","4,60,64,59,332",718,Pets & Animals,2014
294,D Billions,"2,02,00,000","21,87,24,99,520",429,,2019
295,Avicii,"2,02,00,000","9,49,99,13,181",149,Music,2009
296,REACT,"2,01,00,000","12,94,07,02,514","3,885",Entertainment,2007
297,LazarBeam,"2,01,00,000","8,38,99,82,773","1,258",Gaming,2015
298,StarPlus,"2,01,00,000","12,11,65,51,500","12,702",Entertainment,2006
299,AuthenticGames,"2,01,00,000","8,85,26,35,760","4,638",Gaming,2011
300,Vevo,"2,00,00,000","54,69,05,035","1,519",Music,2006
301,Skrillex,"2,00,00,000","6,30,75,39,008",180,Music,2010
302,Rotana,"2,00,00,000","16,48,09,38,259","8,109",Music,2012
303,Ultra Movie Parlour,"2,00,00,000","4,93,09,20,530","1,302",Movies,2011
304,SlivkiShow,"2,00,00,000","4,34,52,34,891",426,Entertainment,2012
305,HaerteTest,"2,00,00,000","3,02,73,61,293","1,160",Science & Technology,2011
306,5-Minute Crafts PLAY,"1,99,00,000","5,61,68,81,420","4,440",Howto & Style,2017
307,Alan Becker,"1,99,00,000","4,32,12,86,202",116,Film & Animation,2006
308,JennaMarbles,"1,99,00,000","1,76,17,74,908",250,Comedy,2010
309,Mnet K-POP,"1,98,00,000","15,39,41,34,862","29,028",Entertainment,2006
310,Lyrical Lemonade,"1,98,00,000","9,56,30,10,656",408,Entertainment,2013
311,Pencilmation,"1,98,00,000","10,84,92,11,839","1,153",Film & Animation,2007
312,Tlnovelas,"1,97,00,000","12,77,64,98,114","29,574",News & Politics,2013
313,Pentatonix,"1,97,00,000","5,69,43,27,707",235,Music,2011
314,Totoy kids - Português,"1,97,00,000","3,82,64,74,945",174,Film & Animation,2014
315,LankyBox,"1,96,00,000","25,78,75,17,689","5,545",Comedy,2016
316,toyorbabytv,"1,96,00,000","13,97,88,92,435","1,057",Music,2012
317,Vlad and Niki Arabic,"1,96,00,000","9,14,75,35,900",417,,2018
318,shane,"1,96,00,000","4,26,91,73,489",566,People & Blogs,2005
319,Marvel Entertainment,"1,95,00,000","5,09,83,61,752","7,989",Entertainment,2005
320,Noor Stars,"1,95,00,000","2,54,58,86,796",627,Comedy,2014
321,GMA Public Affairs,"1,94,00,000","11,96,89,87,179","37,390",Entertainment,2009
322,Romeo Santos,"1,94,00,000","14,81,95,98,563",28,Music,2005
323,Got Talent Global,"1,94,00,000","7,38,37,75,138","2,454",Entertainment,2013
324,Dr. Vivek Bindra: Motivational Speaker,"1,94,00,000","1,47,86,60,028",683,Education,2013
325,Linkin Park,"1,93,00,000","11,78,39,75,855",592,Music,2006
326,Gordon Ramsay,"1,93,00,000","3,63,17,48,240","1,287",Entertainment,2006
327,Troom Troom Es,"1,92,00,000","7,13,94,76,227","2,591",People & Blogs,2016
328,Gusttavo Lima Oficial,"1,92,00,000","11,81,50,01,366",335,Music,2010
329,Kinder Spielzeug Kanal,"1,92,00,000","9,41,35,08,600",699,Entertainment,2015
330,Infinite,"1,92,00,000","4,38,35,33,818","1,517",Entertainment,2014
331,Deddy Corbuzier,"1,92,00,000","4,07,53,68,246","1,132",Entertainment,2009
332,Minecraft - Topic,"1,91,00,000",0,0,,2013
333,Robin Hood Gamer,"1,91,00,000","9,32,82,09,625","3,750",Entertainment,2014
334,★ Kids Roma Show,"1,91,00,000","6,41,08,53,410",589,People & Blogs,2015
335,Fatos Desconhecidos,"1,91,00,000","3,25,28,68,093","5,240",Entertainment,2013
336,JukiLop,"1,91,00,000","1,54,04,03,509",85,People & Blogs,2017
337,Crafty Panda,"1,90,00,000","5,67,24,97,949",613,People & Blogs,2017
338,Kurzgesagt – In a Nutshell,"1,90,00,000","2,05,22,93,685",161,Education,2013
339,DLS News,"1,90,00,000","1,94,61,97,106","3,559",News & Politics,2017
340,NBA,"1,89,00,000","10,79,18,51,871","42,086",Sports,2005
341,Jimmy Kimmel Live,"1,88,00,000","12,47,25,20,905","6,073",Entertainment,2006
